0.000000 0.500501 0.000000
0.001001 0.500501 0.003201
0.002002 0.500501 0.006411
0.003003 0.500501 0.009615
0.004004 0.500501 0.012832
0.005005 0.500501 0.016041
0.006006 0.500501 0.019267
0.007007 0.500501 0.022483
0.008008 0.500501 0.025712
0.009009 0.500501 0.028938
0.010010 0.500501 0.032168
0.011011 0.500501 0.035396
0.012012 0.500501 0.038632
0.013013 0.500501 0.041865
0.014014 0.500501 0.045105
0.015015 0.500501 0.048341
0.016016 0.500501 0.051589
0.017017 0.500501 0.054831
0.018018 0.500501 0.058083
0.019019 0.500501 0.061333
0.020020 0.500501 0.064586
0.021021 0.500501 0.067840
0.022022 0.500501 0.071090
0.023023 0.500501 0.074344
0.024024 0.500501 0.077590
0.025025 0.500501 0.080840
0.026026 0.500501 0.084082
0.027027 0.500501 0.087331
0.028028 0.500501 0.090573
0.029029 0.500501 0.093815
0.030030 0.500501 0.097065
0.031031 0.500501 0.100312
0.032032 0.500501 0.103565
0.033033 0.500501 0.106811
0.034034 0.500501 0.110074
0.035035 0.500501 0.113329
0.036036 0.500501 0.116584
0.037037 0.500501 0.119844
0.038038 0.500501 0.123097
0.039039 0.500501 0.126353
0.040040 0.500501 0.129605
0.041041 0.500501 0.132862
0.042042 0.500501 0.136116
0.043043 0.500501 0.139367
0.044044 0.500501 0.142629
0.045045 0.500501 0.145886
0.046046 0.500501 0.149147
0.047047 0.500501 0.152408
0.048048 0.500501 0.155668
0.049049 0.500501 0.158932
0.050050 0.500501 0.162188
0.051051 0.500501 0.165449
0.052052 0.500501 0.168704
0.053053 0.500501 0.171964
0.054054 0.500501 0.175213
0.055055 0.500501 0.178466
0.056056 0.500501 0.181722
0.057057 0.500501 0.184974
0.058058 0.500501 0.188231
0.059059 0.500501 0.191487
0.060060 0.500501 0.194754
0.061061 0.500501 0.198013
0.062062 0.500501 0.201283
0.063063 0.500501 0.204550
0.064064 0.500501 0.207818
0.065065 0.500501 0.211087
0.066066 0.500501 0.214346
0.067067 0.500501 0.217612
0.068068 0.500501 0.220865
0.069069 0.500501 0.224124
0.070070 0.500501 0.227368
0.071071 0.500501 0.230622
0.072072 0.500501 0.233866
0.073073 0.500501 0.237110
0.074074 0.500501 0.240361
0.075075 0.500501 0.243610
0.076076 0.500501 0.246865
0.077077 0.500501 0.250116
0.078078 0.500501 0.253382
0.079079 0.500501 0.256642
0.080080 0.500501 0.259917
0.081081 0.500501 0.263183
0.082082 0.500501 0.266463
0.083083 0.500501 0.269741
0.084084 0.500501 0.273021
0.085085 0.500501 0.276299
0.086086 0.500501 0.279582
0.087087 0.500501 0.282866
0.088088 0.500501 0.286149
0.089089 0.500501 0.289431
0.090090 0.500501 0.292715
0.091091 0.500501 0.296000
0.092092 0.500501 0.299284
0.093093 0.500501 0.302567
0.094094 0.500501 0.305847
0.095095 0.500501 0.309133
0.096096 0.500501 0.312415
0.097097 0.500501 0.315694
0.098098 0.500501 0.318976
0.099099 0.500501 0.322260
0.100100 0.500501 0.325543
0.101101 0.500501 0.328828
0.102102 0.500501 0.332106
0.103103 0.500501 0.335385
0.104104 0.500501 0.338671
0.105105 0.500501 0.341952
0.106106 0.500501 0.345232
0.107107 0.500501 0.348513
0.108108 0.500501 0.351795
0.109109 0.500501 0.355079
0.110110 0.500501 0.358360
0.111111 0.500501 0.361635
0.112112 0.500501 0.364922
0.113113 0.500501 0.368206
0.114114 0.500501 0.371486
0.115115 0.500501 0.374768
0.116116 0.500501 0.378046
0.117117 0.500501 0.381327
0.118118 0.500501 0.384607
0.119119 0.500501 0.387884
0.120120 0.500501 0.391158
0.121121 0.500501 0.394438
0.122122 0.500501 0.397711
0.123123 0.500501 0.400990
0.124124 0.500501 0.404257
0.125125 0.500501 0.407525
0.126126 0.500501 0.410801
0.127127 0.500501 0.414074
0.128128 0.500501 0.417343
0.129129 0.500501 0.420610
0.130130 0.500501 0.423878
0.131131 0.500501 0.427143
