Number of iterations:	 1	 Error:	 0.000000
Number of iterations:	 2	 Error:	 0.000000
Number of iterations:	 3	 Error:	 0.000000
Number of iterations:	 4	 Error:	 0.000000
Number of iterations:	 5	 Error:	 0.000000
Number of iterations:	 6	 Error:	 0.000000
Number of iterations:	 7	 Error:	 0.000000
Number of iterations:	 8	 Error:	 0.000000
Number of iterations:	 9	 Error:	 0.000000
Number of iterations:	 10	 Error:	 0.000000
Number of iterations:	 11	 Error:	 0.000000
Number of iterations:	 12	 Error:	 0.000000
Number of iterations:	 13	 Error:	 0.000000
Number of iterations:	 14	 Error:	 0.000000
Number of iterations:	 15	 Error:	 0.000000
Number of iterations:	 16	 Error:	 0.000000
Number of iterations:	 17	 Error:	 0.000000
Number of iterations:	 18	 Error:	 0.000000
Number of iterations:	 19	 Error:	 0.000000
Number of iterations:	 20	 Error:	 0.000000
Number of iterations:	 21	 Error:	 0.000000
Number of iterations:	 22	 Error:	 0.000000
Number of iterations:	 23	 Error:	 0.000000
Number of iterations:	 24	 Error:	 0.000000
Number of iterations:	 25	 Error:	 0.000000
Number of iterations:	 26	 Error:	 0.000000
Number of iterations:	 27	 Error:	 0.000000
Number of iterations:	 28	 Error:	 0.000000
Number of iterations:	 29	 Error:	 0.000000
Number of iterations:	 30	 Error:	 0.000000
Number of iterations:	 31	 Error:	 0.000000
Number of iterations:	 32	 Error:	 0.000000
Number of iterations:	 33	 Error:	 0.000000
Number of iterations:	 34	 Error:	 0.000000
Number of iterations:	 35	 Error:	 0.000000
Number of iterations:	 36	 Error:	 0.000000
Number of iterations:	 37	 Error:	 0.000000
Number of iterations:	 38	 Error:	 0.000000
Number of iterations:	 39	 Error:	 0.000000
Number of iterations:	 40	 Error:	 0.000000
Number of iterations:	 41	 Error:	 0.000000
Number of iterations:	 42	 Error:	 0.000000
Number of iterations:	 43	 Error:	 0.000000
Number of iterations:	 44	 Error:	 0.000000
Number of iterations:	 45	 Error:	 0.000000
Number of iterations:	 46	 Error:	 0.000000
Number of iterations:	 47	 Error:	 0.000000
Number of iterations:	 48	 Error:	 0.000000
Number of iterations:	 49	 Error:	 0.000000
Number of iterations:	 50	 Error:	 0.000000
Number of iterations:	 51	 Error:	 0.000000
Number of iterations:	 52	 Error:	 0.000000
Number of iterations:	 53	 Error:	 0.000000
Number of iterations:	 54	 Error:	 0.000000
Number of iterations:	 55	 Error:	 0.000000
Number of iterations:	 56	 Error:	 0.000000
Number of iterations:	 57	 Error:	 0.000000
Number of iterations:	 58	 Error:	 0.000000
Number of iterations:	 59	 Error:	 0.000000
Number of iterations:	 60	 Error:	 0.000000
